number,latitude,longitude
1,-22.841444444444445,110.37419444444444
2,-23.075333333333333,110.5838611111111
3,-23.301277777777777,110.78744444444445
4,-23.52411111111111,110.98925
5,-23.745527777777777,111.19080555555556
6,-23.96561111111111,111.39219444444446
7,-24.1865,111.5953611111111
8,-24.41036111111111,111.80236111111111
9,-24.63136111111111,112.00780555555555
10,-24.85102777777778,112.21308333333333
11,-25.06947222222222,112.4183888888889
12,-25.28788888888889,112.62474999999999
13,-25.506222222222224,112.83219444444444
14,-25.729499999999998,113.04552777777778
15,-25.950027777777777,113.25744444444445
16,-26.16916666666667,113.46925
17,-26.387416666666667,113.68138888888889
18,-26.60338888888889,113.89258333333333
19,-26.819777777777777,114.10541666666666
20,-27.035944444444446,114.31927777777777
21,-27.251805555555556,114.53413888888889
22,-27.47122222222222,114.7538611111111
23,-27.685805555555557,114.97008333333333
24,-27.900666666666666,115.18791666666667
25,-28.113861111111113,115.40541666666667
26,-28.329166666666666,115.62644444444443
27,-28.546611111111112,115.85108333333332
28,-28.759666666666668,116.07263888888889
29,-28.971777777777778,116.29463888888888
30,-29.182972222222222,116.5171111111111
31,-29.395305555555556,116.74227777777777
32,-29.605500000000003,116.9666388888889
33,-29.815916666666666,117.19272222222223
34,-30.024916666666666,117.41883333333334
35,-30.233972222222224,117.64652777777779
36,-30.446361111111113,117.87941666666666
37,-30.65608333333333,118.11105555555555
38,-30.863111111111113,118.34127777777778
39,-31.072777777777777,118.5761111111111
40,-31.279,118.80875
41,-31.48477777777778,119.04252777777778
42,-31.69977777777778,119.28855555555555
43,-31.908527777777778,119.52927777777778
44,-32.11530555555556,119.7695
45,-32.31863888888889,120.00744444444445
46,-32.522555555555556,120.2478888888889
47,-32.72980555555556,120.49416666666667
48,-32.931999999999995,120.73622222222222
49,-33.134388888888886,120.9803888888889
50,-33.33669444444445,121.22636111111112
51,-33.537194444444445,121.47202777777778
52,-33.73683333333334,121.71858333333334
53,-33.93588888888888,121.96638888888889
54,-34.13413888888889,122.21511111111111
55,-34.33511111111111,122.46930555555556
56,-34.53622222222222,122.72580555555555
57,-34.85125,123.13188888888888
58,-35.468611111111116,123.94361111111111
59,-36.076972222222224,124.76513888888888
60,-36.680638888888886,125.60308333333333
61,-37.198388888888886,126.34086111111111
62,-37.81297222222222,127.24111111111111
63,-38.40086111111111,128.12875
64,-38.97513888888889,129.0226388888889
65,-39.57827777777778,129.9920833333333
66,-40.16436111111111,130.96658333333332
67,-40.71027777777778,131.90522222222222
68,-41.374944444444445,133.09186111111111
69,-41.83544444444445,133.94458333333333
70,-42.36336111111111,134.9555
71,-42.87261111111111,135.96730555555555
72,-43.36972222222222,136.99263888888888
73,-43.858222222222224,138.03980555555555
74,-44.28077777777778,138.98008333333334
75,-44.85647222222222,140.31780555555557
76,-45.31205555555555,141.42763888888888
77,-45.75525,142.5556388888889
78,-46.1405,143.5789722222222
79,-46.65591666666666,145.018
80,-47.1585,146.5086388888889
81,-47.49825,147.57230555555554
82,-47.96091666666667,149.10466666666667
83,-48.393027777777775,150.63705555555555
84,-48.80683333333333,152.21422222222222
85,45.18552777777777,-50.687916666666666
86,45.6395,-49.546277777777775
87,46.14405555555555,-48.21377777777778
88,46.5805,-47.00033333333333
89,47.084722222222226,-45.51847222222222
90,47.54111111111111,-44.09225
91,47.939527777777776,-42.770805555555555
92,48.355472222222225,-41.30266666666667
93,48.70883333333334,-39.97225
94,49.08661111111111,-38.449777777777776
95,49.40172222222222,-37.08530555555556
96,49.72616666666667,-35.571250000000006
97,50.04530555555555,-33.94830555555555
98,50.334138888888894,-32.33438888888889
99,50.572583333333334,-30.867416666666667
100,50.81283333333333,-29.226027777777777
101,51.007222222222225,-27.735722222222222
102,51.180138888888884,-26.23863888888889
103,51.34861111111111,-24.55238888888889
104,51.477444444444444,-23.025777777777776
105,51.58544444444445,-21.477444444444444
106,51.67897222222222,-19.75663888888889
107,51.73952777777778,-18.207916666666666
108,51.777944444444444,-16.654722222222222
109,51.79447222222222,-14.925555555555555
110,51.785888888888884,-13.376277777777778
111,51.754694444444446,-11.810694444444445
112,51.69372222222222,-10.077416666666666
113,51.614694444444446,-8.514
