chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku
chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku
chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku
chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku
chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku
chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku
chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku
chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku
chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku
chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku
chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku
img_16_2, ,29,True,933,295,926,260,35.6931365951495,4514.4679165545085,34.029310727084955,3048.408395476122
img_16_2, ,6,True,849,394,839,359,36.40054944640259,4603.941493981,34.029310727084955,3108.825704811741
img_16_2, ,27,True,635,457,626,419,39.05124837953327,4939.2018950433685,34.029310727084955,3335.211325478467
img_16_2, ,1,True,730,552,723,509,43.56604182158393,5510.232969593935,34.029310727084955,3720.8018211721987
img_16_2, ,10,True,797,526,798,496,30.01666203960727,3796.5074147695273,34.029310727084955,2563.6033505148152
img_16_2, ,17,True,984,583,978,543,40.44749683231337,5115.799399350995,34.029310727084955,3454.459335366279
img_16_2, ,18,True,881,557,872,515,42.95346318982906,5432.75402424958,34.029310727084955,3668.483924173912
img_16_3, ,5,True,976,297,976,267,30.0,3794.4,34.029310727084955,2562.1803121867283
img_16_3, ,0,True,59,778,60,737,41.012193308819754,5187.222209699523,34.029310727084955,3502.6878085151416
img_16_3, ,3,True,798,933,796,887,46.04345773288535,5823.576534055339,34.029310727084955,3932.3880302733533
img_16_3, ,6,True,1001,749,997,708,41.19465984809196,5210.300577586671,34.029310727084955,3518.271547667011
img_16_4, ,8,True,853,220,853,184,36.0,4553.28,34.029310727084955,3074.6163746240736
img_16_4, ,19,True,1000,255,1001,216,39.01281840626232,4934.3412720240585,34.029310727084955,3331.9291747813777
img_16_4, ,7,True,1039,666,1032,627,39.6232255123179,5011.545562797968,34.029310727084955,3384.0616104331934
img_16_4, ,13,True,956,692,954,651,41.048751503547585,5191.8460901686985,34.029310727084955,3505.810098074499
img_16_4, ,9,True,932,967,932,938,29.0,3667.92,34.029310727084955,2476.7743017805037
img_16_4, ,31,True,572,885,571,850,35.014282800023196,4428.606488546934,34.029310727084955,2990.4302011852606
img_16_4, ,34,True,335,815,330,783,32.38826948140329,4096.468324007888,34.029310727084955,2766.1528803683254
img_16_4, ,24,True,276,969,271,936,33.37663853655727,4221.477242103764,34.029310727084955,2850.5655381779966
img_16_4, ,6,True,237,945,236,914,31.016124838541646,3922.9194695787473,34.029310727084955,2648.9634807212387
img_16_4, ,23,True,195,887,190,842,45.27692569068709,5726.6255613581025,34.029310727084955,3866.921586700664
img_16_4, ,5,True,131,1017,129,978,39.05124837953327,4939.2018950433685,34.029310727084955,3335.211325478467
img_16_4, ,17,True,73,1040,68,1003,37.33630940518894,4722.296413568298,34.029310727084955,3188.745229589576
img_16_4, ,20,True,58,794,55,756,38.118237105091836,4821.194629052015,34.029310727084955,3255.5265548643974
img_16_4, ,2,True,257,607,256,569,38.01315561749642,4807.903922500947,34.029310727084955,3246.551964241322
img_16_4, ,22,True,446,471,439,429,42.579337712087536,5385.4346338248315,34.029310727084955,3636.5313597286854
img_16_4, ,12,True,399,561,394,524,37.33630940518894,4722.296413568298,34.029310727084955,3188.745229589576
img_16_4, ,16,True,290,441,288,400,41.048751503547585,5191.8460901686985,34.029310727084955,3505.810098074499
img_16_4, ,14,True,179,520,179,481,39.0,4932.72,34.029310727084955,3330.8344058427465
img_16_4, ,3,True,9,628,4,594,34.36568055487916,4346.571276581117,34.029310727084955,2935.0356710869887
img_16_4, ,3,True,339,396,330,357,40.024992192379,5062.361012492096,34.029310727084955,3418.374899691366
img_16_4, ,28,True,798,1063,789,1023,41.0,5185.68,34.029310727084955,3501.6464266551952
img_17_1, ,13,True,138,112,137,69,43.01162633521314,5440.110498877758,33.731484193468816,3632.4232389136764
img_17_1, ,30,True,290,187,287,148,39.11521443121589,4947.292321260185,33.731484193468816,3303.362974180737
img_17_1, ,27,True,42,541,45,490,51.088159097779204,6461.630362687114,33.731484193468816,4314.503592442984
img_17_1, ,32,True,343,606,345,560,46.04345773288535,5823.576534055339,33.731484193468816,3888.467842750396
img_17_1, ,10,True,680,575,676,527,48.16637831516918,6092.083529302598,33.731484193468816,4067.752996893539
img_17_1, ,21,True,512,713,509,670,43.104524124504614,5451.860211267343,33.731484193468816,3640.2686546167743
img_17_1, ,12,True,708,793,704,746,47.16990566028302,5966.049667912596,33.731484193468816,3983.598763795239
img_17_1, ,23,True,720,959,717,911,48.093658625644196,6082.8859429714785,33.731484193468816,4061.611664591931
img_17_1, ,17,True,579,833,580,783,50.00999900019995,6325.26467354529,33.731484193468816,4223.450681232554
img_17_1, ,4,True,395,900,395,853,47.0,5944.56,33.731484193468816,3969.2498697537753
img_17_1, ,25,True,543,881,540,827,54.08326913195984,6840.451879810281,33.731484193468816,4567.446999104041
img_17_1, ,3,True,543,1003,535,959,44.721359549995796,5656.357555883468,33.731484193468816,3776.8138418943095
img_17_1, ,11,True,900,606,896,559,47.16990566028302,5966.049667912596,33.731484193468816,3983.598763795239
img_17_1, ,29,True,688,323,684,274,49.16299421312742,6218.135508076356,33.731484193468816,4151.919327173651
img_17_1, ,20,True,791,242,784,197,45.5411901469428,5760.049729785326,33.731484193468816,3846.050277854992
img_17_1, ,2,True,819,77,819,26,51.0,6450.4800000000005,33.731484193468816,4307.058369307288
img_17_1, ,31,True,974,62,975,15,47.01063709417264,5945.905379670955,33.731484193468816,3970.1481949592917
img_17_1, ,0,True,1034,138,1032,94,44.04543109109048,5570.866124401124,33.731484193468816,3719.7302472672286
img_17_1, ,19,True,1019,244,1018,202,42.01190307520001,5313.665500951298,33.731484193468816,3547.9944853052316
img_17_1, ,7,True,1016,355,1013,317,38.118237105091836,4821.194629052015,33.731484193468816,3219.1661205240275
img_17_1, ,15,True,929,381,929,334,47.0,5944.56,33.731484193468816,3969.2498697537753
img_17_1, ,6,True,1042,480,1040,430,50.039984012787215,6329.057177937327,33.731484193468816,4225.982979260354
img_17_1, ,1,True,950,512,947,463,49.09175083453431,6209.124645551899,33.731484193468816,4145.902672467236
img_17_1, ,9,True,990,756,989,704,52.009614495783374,6578.176041426681,33.731484193468816,4392.322458794302
img_17_1, ,8,True,1061,820,1068,773,47.51841748206689,6010.12944313182,33.731484193468816,4013.0313276936063
img_17_1, ,5,True,1013,926,1013,870,56.0,7082.88,33.731484193468816,4729.318993749179
img_17_2, ,38,True,992,303,981,261,43.41658669218482,5491.329884827536,33.731484193468816,3666.623001555491
img_17_2, ,39,True,628,274,619,234,41.0,5185.68,33.731484193468816,3462.537120423506
