E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_041.jpg,"31 deg 41' 59.20"" S","119 deg 17' 18.80"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_042.jpg,"31 deg 54' 30.70"" S","119 deg 31' 45.40"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_043.jpg,"32 deg 6' 55.10"" S","119 deg 46' 10.20"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_044.jpg,"32 deg 19' 7.10"" S","120 deg 0' 26.80"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_045.jpg,"32 deg 31' 21.20"" S","120 deg 14' 52.40"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_046.jpg,"32 deg 43' 47.30"" S","120 deg 29' 39.00"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_047.jpg,"32 deg 55' 55.20"" S","120 deg 44' 10.40"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_048.jpg,"33 deg 8' 3.80"" S","120 deg 58' 49.40"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_049.jpg,"33 deg 20' 12.10"" S","121 deg 13' 34.90"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_050.jpg,"33 deg 32' 13.90"" S","121 deg 28' 19.30"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_051.jpg,"33 deg 44' 12.60"" S","121 deg 43' 6.90"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_052.jpg,"33 deg 56' 9.20"" S","121 deg 57' 59.00"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_053.jpg,"34 deg 8' 2.90"" S","122 deg 12' 54.40"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_054.jpg,"34 deg 20' 6.40"" S","122 deg 28' 9.50"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_055.jpg,"34 deg 32' 10.40"" S","122 deg 43' 32.90"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_056.jpg,"34 deg 51' 4.50"" S","123 deg 7' 54.80"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_057.jpg,"35 deg 28' 7.00"" S","123 deg 56' 37.00"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_058.jpg,"36 deg 4' 37.10"" S","124 deg 45' 54.50"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_059.jpg,"36 deg 40' 50.30"" S","125 deg 36' 11.10"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_060.jpg,"37 deg 11' 54.20"" S","126 deg 20' 27.10"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_061.jpg,"37 deg 48' 46.70"" S","127 deg 14' 28.00"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_062.jpg,"38 deg 24' 3.10"" S","128 deg 7' 43.50"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_063.jpg,"38 deg 58' 30.50"" S","129 deg 1' 21.50"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_064.jpg,"39 deg 34' 41.80"" S","129 deg 59' 31.50"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_065.jpg,"40 deg 9' 51.70"" S","130 deg 57' 59.70"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_066.jpg,"40 deg 42' 37.00"" S","131 deg 54' 18.80"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_067.jpg,"41 deg 22' 29.80"" S","133 deg 5' 30.70"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_068.jpg,"41 deg 50' 7.60"" S","133 deg 56' 40.50"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_069.jpg,"42 deg 21' 48.10"" S","134 deg 57' 19.80"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_070.jpg,"42 deg 52' 21.40"" S","135 deg 58' 2.30"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_071.jpg,"43 deg 22' 11.00"" S","136 deg 59' 33.50"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_072.jpg,"43 deg 51' 29.60"" S","138 deg 2' 23.30"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_073.jpg,"44 deg 16' 50.80"" S","138 deg 58' 48.30"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_074.jpg,"44 deg 51' 23.30"" S","140 deg 19' 4.10"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_075.jpg,"45 deg 18' 43.40"" S","141 deg 25' 39.50"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_076.jpg,"45 deg 45' 18.90"" S","142 deg 33' 20.30"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_077.jpg,"46 deg 8' 25.80"" S","143 deg 34' 44.30"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_078.jpg,"46 deg 39' 21.30"" S","145 deg 1' 4.80"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_079.jpg,"47 deg 9' 30.60"" S","146 deg 30' 31.10"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_080.jpg,"47 deg 29' 53.70"" S","147 deg 34' 20.30"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_081.jpg,"47 deg 57' 39.30"" S","149 deg 6' 16.80"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_082.jpg,"48 deg 23' 34.90"" S","150 deg 38' 13.40"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_083.jpg,"48 deg 48' 24.60"" S","152 deg 12' 51.20"" E"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_084.jpg,"45 deg 11' 7.90"" N","50 deg 41' 16.50"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_085.jpg,"45 deg 38' 22.20"" N","49 deg 32' 46.60"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_086.jpg,"46 deg 8' 38.60"" N","48 deg 12' 49.60"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_087.jpg,"46 deg 34' 49.80"" N","47 deg 0' 1.20"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_088.jpg,"47 deg 5' 5.00"" N","45 deg 31' 6.50"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_089.jpg,"47 deg 32' 28.00"" N","44 deg 5' 32.10"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_090.jpg,"47 deg 56' 22.30"" N","42 deg 46' 14.90"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_091.jpg,"48 deg 21' 19.70"" N","41 deg 18' 9.60"" W"
E:/Sta×enÚ Soubory/AstroX/AstroX/main/img_092.jpg,"48 deg 42' 31.80"" N","39 deg 58' 20.10"" W"
