1222.4,13.75,23,5,19
1666.92,18.75,16,21,5
1333.53,15.0,17,13,4
1955.85,22.0,23,21,2
1333.53,15.0,17,13,4
1311.31,14.75,14,16,2
1000.15,11.25,12,10,2
1377.98,15.5,25,6,19
1466.89,16.5,23,6,25
2044.75,23.0,35,12,25
2155.88,24.25,34,14,20
1733.59,19.5,28,4,24
1889.17,21.25,22,22,3
1289.08,14.5,15,14,1
1333.53,15.0,14,16,2
1600.24,18.0,18,18,0
622.32,7.0,11,3,8
2000.3,22.5,24,21,3
1066.83,12.0,16,4,20
1733.59,19.5,19,20,1
1711.37,19.25,17,22,6
Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
1511.34,17.0,17,17,0
2000.3,22.5,33,10,23
1111.28,12.5,16,8,14
1866.95,21.0,21,21,0
1689.14,19.0,17,21,4
1644.69,18.5,33,3,30
1711.37,19.25,15,18,14
1289.08,14.5,14,15,1
1133.5,12.75,10,17,7
1911.4,21.5,19,22,4
1600.24,18.0,19,17,2
1955.85,22.0,35,9,26
2355.91,26.5,20,32,12
