1704.94,17.0,26,7,19
2106.11,21.0,18,24,6
2106.11,21.0,28,14,14
1328.85,13.25,13,14,2
2231.47,22.25,30,17,20
2356.83,23.5,24,23,1
1855.38,18.5,28,9,30
1328.85,13.25,13,15,3
2381.91,23.75,25,22,3
3109.02,31.0,31,31,0
2106.11,21.0,19,23,4
1504.36,15.0,15,15,0
1479.29,14.75,25,6,22
1153.34,11.5,13,10,3
1780.16,17.75,18,17,1
1053.05,10.5,14,7,7
1805.24,18.0,17,19,2
902.62,9.0,10,8,2
2156.25,21.5,30,13,17
1930.6,19.25,29,10,19
2256.54,22.5,23,22,1
2206.4,22.0,21,23,2
2381.91,23.75,38,7,31
1002.91,10.0,8,12,4
2256.54,22.5,23,22,1
2005.82,20.0,35,5,30
Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
1278.71,12.75,9,16,8
1278.71,12.75,18,8,10
1353.93,13.5,8,19,11
2156.25,21.5,24,20,6
1053.05,10.5,8,13,5
2206.4,22.0,23,21,2
2106.11,21.0,25,13,20
2005.82,20.0,31,9,22
Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
777.25,7.75,8,7,1
1905.53,19.0,19,19,0
1780.16,17.75,22,16,11
