888.38,9.25,11,8,3
1896.81,19.75,19,19,2
1872.8,19.5,25,5,26
1824.78,19.0,17,17,7
1920.82,20.0,17,18,9
912.39,9.5,15,4,30
1152.49,12.0,21,3,18
2377.02,24.75,22,23,8
1416.61,14.75,19,11,8
1512.65,15.75,19,12,7
1872.8,19.5,28,11,17
1368.59,14.25,12,17,6
Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
2304.99,24.0,35,14,23
888.38,9.25,13,10,12
1992.86,20.75,16,25,10
1632.7,17.0,28,6,22
1392.6,14.5,9,20,11
1416.61,14.75,15,14,2
1704.73,17.75,15,20,5
2256.97,23.5,25,19,6
1944.83,20.25,28,15,14
1368.59,14.25,15,11,9
1920.82,20.0,16,24,8
984.42,10.25,9,11,2
1824.78,19.0,19,20,2
1776.76,18.5,17,20,3
1584.68,16.5,8,25,17
1800.77,18.75,17,21,4
2112.91,22.0,17,27,10
1560.67,16.25,24,8,16
2184.94,22.75,30,15,15
1728.74,18.0,16,20,4
1824.78,19.0,27,11,16
1584.68,16.5,7,26,20
1776.76,18.5,13,24,11
432.19,4.5,6,3,3
888.38,9.25,10,9,2
1728.74,18.0,28,8,20
1728.74,18.0,18,18,0
1536.66,16.0,27,5,22
2280.98,23.75,33,15,18
Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
1824.78,19.0,10,25,15
1680.72,17.5,29,6,23
528.23,5.5,9,2,7
936.4,9.75,16,4,12
2833.22,29.5,31,28,26
2064.89,21.5,16,27,11
