2135.31,26.0,27,25,2
1724.68,21.0,25,13,12
2135.31,26.0,26,26,0
2032.65,24.75,27,24,6
1991.59,24.25,24,25,1
1724.68,21.0,16,27,11
1971.06,24.0,23,26,3
2012.12,24.5,29,23,6
1108.72,13.5,22,5,28
2053.19,25.0,25,25,0
1909.46,23.25,21,26,5
1950.53,23.75,23,25,3
1519.36,18.5,27,10,17
1704.14,20.75,25,17,8
1765.74,21.5,23,19,6
1108.72,13.5,19,8,11
Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
2299.57,28.0,29,27,2
2320.1,28.25,28,30,5
2217.44,27.0,26,28,2
2094.25,25.5,25,26,1
1888.93,23.0,22,24,2
1683.61,20.5,21,20,1
1724.68,21.0,21,21,0
1478.29,18.0,25,11,14
1355.1,16.5,13,20,7
2422.76,29.5,28,31,3
2053.19,25.0,21,34,13
1806.8,22.0,25,19,6
