1920.82,20.0,36,7,35
1440.62,15.0,23,6,21
960.41,10.0,9,11,2
2112.91,22.0,29,15,14
792.34,8.25,8,13,9
864.37,9.0,17,1,16
1656.71,17.25,18,16,3
1776.76,18.5,20,17,3
1464.63,15.25,13,17,5
1176.51,12.25,9,15,6
1512.65,15.75,19,15,5
2112.91,22.0,24,20,4
1776.76,18.5,13,24,11
1536.66,16.0,14,21,8
Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
1608.69,16.75,17,14,8
1632.7,17.0,18,8,16
696.3,7.25,8,6,3
1416.61,14.75,7,23,16
1656.71,17.25,10,25,15
1776.76,18.5,13,26,13
2401.03,25.0,26,24,2
1512.65,15.75,14,17,4
1728.74,18.0,23,14,10
1344.58,14.0,17,11,6
1584.68,16.5,17,16,1
2256.97,23.5,30,16,14
672.29,7.0,11,3,8
1872.8,19.5,31,8,23
1272.55,13.25,17,10,7
1416.61,14.75,11,9,14
1176.51,12.25,7,17,10
2088.9,21.75,16,27,11
528.23,5.5,9,3,7
1776.76,18.5,24,10,14
1704.73,17.75,17,19,3
912.39,9.5,12,7,5
1824.78,19.0,12,26,14
936.4,9.75,17,2,15
