ai_output_corrected_img_0_2.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_2.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_2.jpg.csv,1358.6,13.25,16,10,6
ai_output_corrected_img_0_2.jpg.csv,999.72,9.75,11,8,3
ai_output_corrected_img_0_2.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_2.jpg.csv,205.07,2.0,2,2,0
ai_output_corrected_img_0_2.jpg.csv,1614.94,15.75,19,14,5
ai_output_corrected_img_0_2.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_2.jpg.csv,1999.45,19.5,23,16,7
ai_output_corrected_img_0_2.jpg.csv,1640.57,16.0,18,14,4
ai_output_corrected_img_0_2.jpg.csv,1614.94,15.75,23,2,21
ai_output_corrected_img_0_2.jpg.csv,1794.37,17.5,29,6,23
ai_output_corrected_img_0_2.jpg.csv,1281.7,12.5,19,6,13
ai_output_corrected_img_0_2.jpg.csv,1409.87,13.75,21,9,16
ai_output_corrected_img_0_2.jpg.csv,1025.36,10.0,15,5,10
ai_output_corrected_img_0_2.jpg.csv,1538.03,15.0,18,12,6
ai_output_corrected_img_0_2.jpg.csv,1409.87,13.75,18,5,13
ai_output_corrected_img_0_2.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_3.jpg.csv,1281.7,12.5,15,7,14
ai_output_corrected_img_0_3.jpg.csv,1384.23,13.5,20,7,13
ai_output_corrected_img_0_3.jpg.csv,1486.77,14.5,17,12,5
ai_output_corrected_img_0_3.jpg.csv,1102.26,10.75,16,2,14
ai_output_corrected_img_0_3.jpg.csv,1358.6,13.25,16,7,9
ai_output_corrected_img_0_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_3.jpg.csv,1281.7,12.5,15,10,5
ai_output_corrected_img_0_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_3.jpg.csv,1281.7,12.5,14,11,3
ai_output_corrected_img_0_3.jpg.csv,1871.28,18.25,23,15,11
ai_output_corrected_img_0_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_3.jpg.csv,1179.16,11.5,15,8,7
ai_output_corrected_img_0_3.jpg.csv,1025.36,10.0,11,9,2
ai_output_corrected_img_0_3.jpg.csv,1384.23,13.5,14,15,4
ai_output_corrected_img_0_3.jpg.csv,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
ai_output_corrected_img_0_3.jpg.csv,1384.23,13.5,14,13,1
ai_output_corrected_img_0_3.jpg.csv,1204.79,11.75,17,5,15
ai_output_corrected_img_0_3.jpg.csv,1332.96,13.0,18,8,10
ai_output_corrected_img_0_3.jpg.csv,717.75,7.0,9,5,4
