-22.84144444,110.3741944
-23.07533333,110.5838611
-23.30127778,110.7874444
-23.52411111,110.98925
-23.74552778,111.1908056
-23.96561111,111.3921944
-24.1865,111.5953611
-24.41036111,111.8023611
-24.63136111,112.0078056
-24.85102778,112.2130833
-25.06947222,112.4183889
-25.28788889,112.62475
-25.50622222,112.8321944
-25.7295,113.0455278
-25.95002778,113.2574444
-26.16916667,113.46925
-26.38741667,113.6813889
-26.60338889,113.8925833
-26.81977778,114.1054167
-27.03594444,114.3192778
-27.25180556,114.5341389
-27.47122222,114.7538611
-27.68580556,114.9700833
-27.90066667,115.1879167
-28.11386111,115.4054167
-28.32916667,115.6264444
-28.54661111,115.8510833
-28.75966667,116.0726389
-28.97177778,116.2946389
-29.18297222,116.5171111
-29.39530556,116.7422778
-29.6055,116.9666389
-29.81591667,117.1927222
-30.02491667,117.4188333
-30.23397222,117.6465278
-30.44636111,117.8794167
-30.65608333,118.1110556
-30.86311111,118.3412778
-31.07277778,118.5761111
-31.279,118.80875
-31.48477778,119.0425278
-31.69977778,119.2885556
-31.90852778,119.5292778
-32.11530556,119.7695
-32.31863889,120.0074444
-32.52255556,120.2478889
-32.72980556,120.4941667
-32.932,120.7362222
-33.13438889,120.9803889
-33.33669444,121.2263611
-33.53719444,121.4720278
-33.73683333,121.7185833
-33.93588889,121.9663889
-34.13413889,122.2151111
-34.33511111,122.4693056
-34.53622222,122.7258056
-34.85125,123.1318889
-35.46861111,123.9436111
-36.07697222,124.7651389
-36.68063889,125.6030833
-37.19838889,126.3408611
-37.81297222,127.2411111
-38.40086111,128.12875
-38.97513889,129.0226389
-39.57827778,129.9920833
-40.16436111,130.9665833
-40.71027778,131.9052222
-41.37494444,133.0918611
-41.83544444,133.9445833
-42.36336111,134.9555
-42.87261111,135.9673056
-43.36972222,136.9926389
-43.85822222,138.0398056
-44.28077778,138.9800833
-44.85647222,140.3178056
-45.31205556,141.4276389
-45.75525,142.5556389
-46.1405,143.5789722
-46.65591667,145.018
-47.1585,146.5086389
-47.49825,147.5723056
-47.96091667,149.1046667
-48.39302778,150.6370556
-48.80683333,152.2142222
45.18552778,-50.68791667
45.6395,-49.54627778
46.14405556,-48.21377778
46.5805,-47.00033333
47.08472222,-45.51847222
47.54111111,-44.09225
47.93952778,-42.77080556
48.35547222,-41.30266667
48.70883333,-39.97225
49.08661111,-38.44977778
49.40172222,-37.08530556
49.72616667,-35.57125
50.04530556,-33.94830556
50.33413889,-32.33438889
50.57258333,-30.86741667
50.81283333,-29.22602778
51.00722222,-27.73572222
51.18013889,-26.23863889
51.34861111,-24.55238889
51.47744444,-23.02577778
51.58544444,-21.47744444
51.67897222,-19.75663889
51.73952778,-18.20791667
51.77794444,-16.65472222
51.79447222,-14.92555556
51.78588889,-13.37627778
51.75469444,-11.81069444
51.69372222,-10.07741667
51.61469444,-8.514
51.51341667,-6.960166667
51.37494444,-5.244194444
51.22966667,-3.734416667
51.06336111,-2.234972222
50.87308333,-0.7231388889
50.68172222,0.6400833333
50.45091667,2.128277778
50.20086111,3.593666667
49.89877778,5.206972222
49.60986111,6.623138889
49.30188889,8.022916667
48.93583333,9.566083333
48.58680556,10.93625
48.22211111,12.27916667
47.79022222,13.77022222
47.38933333,15.07144444
46.97286111,16.35038889
46.57844444,17.50138889
46.11980556,18.77472222
45.65925,19.99072222
45.11372222,21.35927778
44.62272222,22.53152778
44.05661111,23.82086111
43.53936111,24.94641667
42.94697222,26.17994444
42.40566667,27.26005556
41.85586111,28.31530556
41.22388889,29.48063889
40.62591667,30.54030556
40.01830556,31.57788889
39.35136111,32.67508333
38.72727778,33.66519444
38.08525,34.64988889
37.46072222,35.577
36.88613889,36.40513889
36.24197222,37.30705556
35.59758333,38.18308333
34.86905556,39.14405556
34.20836111,39.99038889
33.53772222,40.8265
32.78711111,41.73669444
32.09769444,42.55036111
31.31786111,43.44666667
30.53125,44.32647222
29.87844444,45.03930556
29.07352778,45.89791667
28.28127778,46.72247222
27.57755556,47.43886111
26.92155556,48.09380556
26.19691667,48.80363889
25.38694444,49.58113889
24.64733333,50.27722222
23.97111111,50.90269444
23.123,51.67325
22.34536111,52.36697222
21.56011111,53.05577778
20.81925,53.69544444
20.02688889,54.36933333
19.25811111,55.01358333
18.63241667,55.53136111
17.83936111,56.17961111
17.03411111,56.82922222
16.33138889,57.38944444
15.57152778,57.98863889
14.65972222,58.69919444
13.93847222,59.25516667
13.16838889,59.84325
12.44088889,60.39391667
11.73311111,60.92538889
10.96594444,61.497
10.26133333,62.01827778
9.5185,62.56422222
8.781638889,63.10244444
8.039861111,63.64113889
7.387944444,64.11222222
6.66875,64.62963889
5.930333333,65.15861111
5.136777778,65.72486111
4.260722222,66.34766667
3.552277778,66.84980556
2.783138889,67.39369444
2.134944444,67.85130556
1.484944444,68.30961111
0.7054166667,68.85875
-0.1859444444,69.48636111
-0.8361111111,69.94419444
-1.738444444,70.58
-2.383833333,71.03522222
-3.277333333,71.66652778
-3.925111111,72.12519444
-4.80925,72.75288889
-5.615944444,73.32763889
-6.514833333,73.97077778
-7.318666667,74.54869444
-8.198083333,75.18436111
-8.929166667,75.71586111
-9.676333333,76.26227778
-10.46077778,76.83969444
-11.20422222,77.39080556
-11.9165,77.92266667
-12.68555556,78.50147222
-13.41541667,79.05547222
-14.27202778,79.71194444
-15.02986111,80.29880556
-15.74722222,80.85991667
-16.46130556,81.42422222
-17.22530556,82.03477778
-17.95644444,82.62602778
-18.70641667,83.24002778
-19.53669444,83.92922222
-20.27461111,84.55061111
