temp,pres,hum,red,green,blue,clear,yaw,pitch,roll,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime
42.345863342285156,961.954833984375,17.855072021484375,0,1,1,2,200.1397366645534,350.6400240208568,15.958658448559337,-17.79037857055664,15.765324592590332,25.464885711669922,0.1592869758605957,0.26755741238594055,0.9267790913581848,-0.01449393481016159,-0.0022478532046079636,0.006727209314703941,2023-02-24 20:42:45.058338
42.434654235839844,961.96142578125,18.31884002685547,0,1,1,2,204.73301156063027,349.17839939696717,6.031851900385919,-36.81081771850586,32.039764404296875,53.476932525634766,0.1578322947025299,0.26537227630615234,0.9287286400794983,-0.009488873183727264,-0.002169981598854065,0.003012716770172119,2023-02-24 20:42:59.164342
42.29258728027344,961.983642578125,18.214492797851562,0,0,0,2,208.49427379315125,346.35964350575273,359.6672766727321,-44.471134185791016,38.44428253173828,65.05389404296875,0.1609840989112854,0.2711993157863617,0.9267790913581848,-0.009165056049823761,-0.00021172873675823212,0.007535479962825775,2023-02-24 20:43:13.395283
42.29258728027344,961.996337890625,18.286956787109375,0,1,1,2,210.86913056756467,345.46129348365673,350.2700591405002,-47.784576416015625,41.16413497924805,69.18603515625,0.1602567583322525,0.26585787534713745,0.9248295426368713,-0.008976124227046967,0.0001620035618543625,0.0035515688359737396,2023-02-24 20:43:27.490716
42.23931121826172,962.0048828125,18.217391967773438,0,0,0,2,214.399764632571,344.1180616512928,342.2853665101748,-49.02949905395508,42.61690902709961,71.29225158691406,0.1614689826965332,0.2661006450653076,0.926535427570343,-0.013053052127361298,-0.0024375878274440765,0.00538661889731884,2023-02-24 20:43:41.557253
42.29258728027344,961.99169921875,18.330434799194336,0,0,0,1,217.10244316638835,345.18948952073066,335.16402345131735,-49.623477935791016,43.081398010253906,71.79661560058594,0.1592869758605957,0.2656150758266449,0.9275102019309998,-0.00660039484500885,-0.0017116907984018326,0.0017703529447317123,2023-02-24 20:43:55.747672
42.20379638671875,961.993408203125,18.60289764404297,0,0,0,2,219.85107521294157,347.30911066359715,328.4802854899407,-49.86187744140625,43.163787841796875,72.08868408203125,0.157589852809906,0.2627015709877014,0.9277539253234863,-0.007606580853462219,-0.0026494301855564117,0.0017559230327606201,2023-02-24 20:44:09.804840
42.29258728027344,961.96484375,18.431884765625,0,0,0,2,221.75632916115993,347.1756453521205,325.3871865129762,-50.10225296020508,43.35911178588867,73.04859924316406,0.1585596352815628,0.26804298162460327,0.9250732660293579,-0.004115574061870575,-0.0010341480374336243,0.002752857282757759,2023-02-24 20:44:24.091300
42.47017288208008,961.97998046875,18.71014404296875,0,0,0,1,222.60362778807837,348.39240086407597,321.03281797368805,-49.888160705566406,43.159908294677734,73.23039245605469,0.157589852809906,0.26755741238594055,0.9292160868644714,-0.007832050323486328,0.0007757153362035751,0.003133470192551613,2023-02-24 20:44:38.252020
42.22154998779297,961.994873046875,18.24927520751953,0,0,0,2,222.2864064822663,347.53985665187497,317.1944804714781,-49.56019592285156,42.69281005859375,73.05261993408203,0.1597718596458435,0.2661006450653076,0.9277539253234863,-0.007340356707572937,0.0002485886216163635,0.0047693997621536255,2023-02-24 20:44:52.403326
