3739.99,42.0,33,51,18
1246.66,14.5,16,13,3
2671.42,30.0,31,29,2
1424.76,16.25,19,14,5
2671.42,30.75,27,34,8
Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
1157.62,13.25,25,1,24
3294.75,37.0,31,43,12
3561.9,40.5,67,14,53
1602.85,18.75,25,13,12
2671.42,30.75,27,35,9
3294.75,37.0,25,49,24
2315.23,26.0,27,10,30
2493.33,28.0,27,29,2
3918.09,44.25,41,49,10
1157.62,13.75,24,3,22
Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
3116.66,35.5,33,38,5
2760.47,31.5,28,35,7
2315.23,26.75,27,25,5
2315.23,26.25,29,26,5
1780.95,20.5,30,11,19
Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
2048.09,23.0,24,22,2
2226.18,25.75,32,28,14
2137.14,24.0,24,24,0
4096.18,46.75,26,67,42
2315.23,26.25,37,6,31
2493.33,28.5,26,34,8
4274.27,48.0,32,64,32
