2137.14,24.0,27,23,4
1691.9,19.5,20,19,1
3472.85,39.5,32,47,15
1959.04,22.5,42,3,39
3294.75,37.0,58,16,42
890.47,10.5,19,1,20
2760.47,31.0,24,38,14
1780.95,20.0,20,18,6
2404.28,27.75,26,28,3
1959.04,22.5,23,21,2
3027.61,34.75,32,37,5
1870.0,21.0,37,5,32
2849.52,32.5,30,35,5
2938.56,33.75,30,43,13
3383.8,38.5,31,45,15
2226.18,25.0,19,27,8
2760.47,31.75,23,40,17
2582.37,29.5,32,25,11
2938.56,33.25,59,9,61
3918.09,44.75,28,60,32
1335.71,15.5,26,10,24
2671.42,30.0,36,1,45
2404.28,27.0,18,35,17
2404.28,27.5,36,17,23
Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly,Error was raised properly
2671.42,30.5,19,30,34
3472.85,39.75,29,50,21
1691.9,19.0,18,20,2
3383.8,38.0,69,7,62
2493.33,28.25,24,41,18
2582.37,29.0,50,8,42
1959.04,22.75,24,15,21
3829.04,43.5,45,42,3
4274.27,48.0,68,28,40
1870.0,21.5,22,21,1
1424.76,16.5,25,8,19
3383.8,38.5,27,50,23
3027.61,34.5,40,29,11
